tx	day	n	mean_nfl	nfl_l95	nfl_u95	median_nfl	nfl_q25	nfl_q75	wilcoxon_p_versus_mock	wilcoxon_p_washout
mino	5	19	291.36842105263156	226.6760286906639	356.06081341459924	240	195.5	336	1.5994425923004518e-7	1
mino	10	20	1252.495	-136.02687351389136	2641.0168735138914	140.5	122.5	481.25	0.17382861234967442	1
mino	24	20	77.28	65.5324670912288	89.0275329087712	68.19999999999999	62.349999999999994	90.4	0.3103795608247748	9.27091895921499e-5
mock	5	20	101.945	87.05805491526654	116.83194508473345	93	79.475	115.75	1	1
mock	10	20	146.455	105.0354218682102	187.87457813178983	116	87.7	164.5	1	1
mock	24	20	92.65	74.34344435677228	110.95655564322773	84.55	61.025	108	1	0.016059045744559897
