grouped_day	grouped_group	n	cv	median	q25	q75	mean	l95	u95
0	predose	31	1.1856439370347476	110	77.35	167.5	175.94516129032257	102.51087866788484	249.3794439127603
6	minocycline	15	0.39969570778686814	1211	972	1568.5	1324.4	1056.5133211299615	1592.2866788700387
6	none	16	0.8003469997582553	304	220.25	558.5	413.1625	251.13552736741985	575.1894726325802
13	minocycline	14	0.5282026653389302	1169	680.75	1559.25	1232.9285714285713	891.7964787788751	1574.0606640782676
13	none	16	0.37369652738850384	214.5	154.5	280.5	215.6875	176.19340754850924	255.18159245149076
20	minocycline	6	0.5177316227298432	674	578.5	990.75	814.1666666666666	476.88675478498635	1151.446578548347
20	none	14	1.0597035389777447	313.5	209.5	469.25	523.0357142857143	232.70044072661045	813.3709878448183
27	minocycline	2	0.909888537227892	275.65	186.975	364.325	275.65	-71.94961265817847	623.2496126581784
27	none	6	0.48980178258928886	157.5	105.17500000000001	225.5	171.95	104.560069674676	239.33993032532396
34	minocycline	2	0.06547285010986552	216	211	221	216	196.40036015459947	235.59963984540053
34	none	6	0.4658515730023361	147.5	137.25	184.75	173.21666666666667	108.64980033480482	237.78353299852853
41	minocycline	2	0.11549838531177728	82.65	79.275	86.025	82.65	69.42024310435464	95.87975689564537
41	none	6	0.4041090084199184	122	86.25	128.5	111.18333333333334	75.23235709961796	147.13430956704872
