day	n_animals	mean	l95	u95
1	16	0	0	0
2	16	-0.07608988869597798	-0.08647697396489874	-0.06570280342705721
3	15	-0.0677186086634283	-0.08180873657472963	-0.053628480752126964
4	15	-0.04402949713905843	-0.06480089413260465	-0.023258100145512217
5	15	-0.03604245029002643	-0.05169637346493393	-0.02038852711511893
6	15	-0.0160778495827855	-0.0438481077102387	0.011692408544667698
7	15	-0.04227844281809741	-0.05702411909026605	-0.027532766545928768
8	15	-0.06591222963272031	-0.07815459433550781	-0.05366986492993281
9	15	-0.04446762248626005	-0.06058741278016137	-0.028347832192358726
10	15	-0.06122073010116836	-0.07790552992791766	-0.04453593027441906
11	14	-0.09209893900915246	-0.11053157096778897	-0.07366630705051595
12	14	-0.10613271748545108	-0.13440077374588372	-0.07786466122501845
13	14	-0.13415256685689705	-0.14908959596967727	-0.11921553774411683
14	14	-0.1355188852702755	-0.14765749072197057	-0.12338027981858044
15	6	-0.15068840266644806	-0.16238138665072077	-0.13899541868217535
