gene	p_ebm	n_pep	abun	l2fc	mg
Hmgn5	4.4090401551595005e-11	2	151.67998328972223	-0.09990076066694864	FALSE
C4bpa	1.5148221854610245e-10	2	117.33418850300001	0.9119177805797868	FALSE
Btf3l4	2.374922820210912e-9	4	686.1851005258889	-0.02577662569530026	FALSE
Hsd17b4	1.1019373335681284e-8	6	1344.1221186617777	-0.08558642276071791	FALSE
Ero1a	1.5149089000788195e-8	4	498.39802307466664	0.06368323798172748	FALSE
Calr	6.757256374973383e-8	5	1214.0796917754444	-0.14454476415878398	FALSE
Pcp4l1	8.910174382969137e-8	4	736.0047387862778	-0.19527533372552255	FALSE
Cct6a	1.2985448925404034e-7	5	1767.2956737765	-0.07897994363771334	FALSE
Serpina3n	3.3475293708171037e-7	7	1124.0590321151667	1.357598146167975	FALSE
Cox7c	3.765148470380279e-7	3	2055.0362143284447	-0.18958024538713325	FALSE
Slc12a5	3.8298628331725675e-7	2	172.71174439933333	0.31218341638723185	FALSE
Hagh	4.5687852577813306e-7	6	900.1745294973333	-0.1640929236411816	FALSE
Mark1	5.124477248865765e-7	4	860.4070686989445	-0.07054267380302094	FALSE
Cct7	5.737333130629839e-7	5	1169.8234790841666	-0.21919785929644697	FALSE
Rdx	5.825467337158304e-7	4	487.24920803544444	0.03569404601751331	FALSE
Stat1	6.976820359380883e-7	7	992.7668577502222	-0.06336095489439689	TRUE
Sult1a1	8.625318278475415e-7	3	348.2659608358333	0.6771618957372975	TRUE
Itih4	9.212615574912425e-7	5	577.6779962299445	0.9735091445426369	FALSE
Ndufa10	9.235836880755178e-7	4	1241.2073474080555	-0.0632748387670453	FALSE
Arhgdia	1.2732600334474322e-6	3	548.2551152504444	-0.0805360638090217	FALSE
Serpina6	1.4044360076552906e-6	4	464.822690752	-0.539081779160052	FALSE
Wbp2	1.4641664603269911e-6	2	539.8301775621112	-0.10896066895220483	FALSE
Prdx6	2.0984580563152303e-6	5	1027.7744633654445	-0.15955855040077674	FALSE
Kif5a	2.3606842764075442e-6	4	452.2772342156111	-0.18332076457478558	FALSE
Ica1	2.3806163497808666e-6	5	732.7669857453889	-0.23052548974906642	FALSE
Rabggtb	2.5467883045459007e-6	4	775.2757974293334	-0.2288645125687092	FALSE
Cmc1	2.673744551271701e-6	2	481.3587203463333	-0.274171428063611	FALSE
Map1b	2.869975357350656e-6	7	723.135662937	-0.10123712777438809	FALSE
Ppib	3.5660350738677568e-6	5	1127.454632460611	-0.006217244709025002	FALSE
Atp6v1g2	3.5840614190573543e-6	3	739.8400370425555	-0.20447056205227696	FALSE
Idh3b	4.7355071670627966e-6	6	645.1841207575	-0.011080196066396658	FALSE
Cyrib	4.988229035114364e-6	3	874.8884157857223	-0.19361475530956404	FALSE
Scrn1	5.566625352299161e-6	4	1004.8082373058888	-0.13827211244274873	FALSE
Tmem179	5.7249396352464314e-6	1	180.68244841111112	-0.15977226006560544	FALSE
Gfpt1	5.858029420001943e-6	6	1098.1395222051667	-0.013566544376414446	FALSE
Evi5l	6.178757746431173e-6	8	767.7602106133334	-0.22451619445870374	FALSE
Hsp90ab1	6.322852150546735e-6	3	790.4428181645	-0.33851017006206807	FALSE
Matr3	6.789256373161704e-6	3	341.7350940629444	0.009811809808537408	FALSE
Eif2s2	6.991005014819314e-6	5	758.0934913952223	0.07070294614941329	FALSE
Septin6	7.707498834479885e-6	8	1802.359766253389	-0.07082479017006288	FALSE
Yme1l1	9.284277140499217e-6	5	917.1910697258334	-0.021993956003476738	FALSE
Fasn	1.0263504483731531e-5	6	1119.4196545979444	-0.16328869429004642	FALSE
Ipo13	1.1451339866149698e-5	3	255.32169453566667	-0.251276426962162	FALSE
Dpp3	1.2873367295194227e-5	4	709.5886622898333	0.024237802729470154	FALSE
Dpysl5	1.3431576134583318e-5	4	661.1334144577778	-0.14276411496414712	FALSE
Cadps	1.346855682972728e-5	7	2061.4084035912224	-0.15690008210627018	FALSE
Me1	1.3696900108562401e-5	5	879.7427550589445	-0.18743591694424616	FALSE
Plin4	1.4111992898488679e-5	4	532.5144194935556	0.6987769665038206	FALSE
Clstn1	1.4192377325354276e-5	6	1214.913296679	-0.09355334270887143	FALSE
Eef1e1	1.432209873624542e-5	4	755.9159958933334	-0.2061459892926961	FALSE
Gga1	1.4614132565693822e-5	3	416.492133699	-0.023906192050351622	FALSE
Snd1	1.4834523983750834e-5	6	718.0979643126111	-0.1917994691914008	FALSE
Ambp	1.5890380611114967e-5	2	468.46066818677775	0.8412660840962508	FALSE
Trap1	1.6455617099837797e-5	4	1470.4082503547222	0.01970876466540215	FALSE
Diaph2	1.6531944886216343e-5	4	530.7326091805555	0.15603375659156107	FALSE
Vstm2b	1.6863361301684623e-5	3	301.5892275481111	-0.22135214295746983	FALSE
Gapvd1	1.8339901629911663e-05	7	511.759339846	-0.25729695920309353	FALSE
Ptcd3	2.2483667735428848e-5	5	917.3593534776667	0.12477689181320584	FALSE
Rpn2	2.2706827309643866e-5	3	655.0968571066112	-0.1712539219006576	FALSE
Nr3c1	2.3139668322803806e-5	4	486.7106953426111	-0.281951795315622	FALSE
Npdc1	2.3924499113000722e-5	2	180.96483634	-0.2870055862675659	FALSE
Golga4	2.4382780781414774e-5	6	532.3049189306666	-0.28115775800334136	FALSE
