animal	sex	tx	bleed_day	weight_day	weight_g	delta
116323.5	F	mock	5	5	21.9	0.028169014084507
116324.1	F	mock	5	1	20.3	0
116324.1	F	mock	5	2	20.4	0.00492610837438411
116324.1	F	mock	5	3	19.8	-0.02463054187192115
116324.1	F	mock	5	4	19.6	-0.03448275862068961
116324.1	F	mock	5	5	19.9	-0.01970443349753703
116324.2	F	mock	5	1	20.8	0
116324.2	F	mock	5	2	21.2	0.01923076923076916
116324.2	F	mock	5	3	21	0.00961538461538458
116324.2	F	mock	5	4	21.4	0.02884615384615374
116324.2	F	mock	5	5	21.4	0.02884615384615374
116324.3	F	mock	5	1	21.1	0
116324.3	F	mock	5	2	21.7	0.02843601895734582
116324.3	F	mock	5	3	21.4	0.0142180094786728
116324.3	F	mock	5	4	21.1	0
116324.3	F	mock	5	5	20.9	-0.00947867298578208
116324.4	F	mock	5	1	21.6	0
116324.4	F	mock	5	2	21.4	-0.00925925925925941
116324.4	F	mock	5	3	21.6	0
116324.4	F	mock	5	4	21.4	-0.00925925925925941
116324.4	F	mock	5	5	21.6	0
116324.5	F	mock	5	1	22.1	0
116324.5	F	mock	5	2	22.4	0.01357466063348411
116324.5	F	mock	5	3	21.3	-0.03619909502262442
116324.5	F	mock	5	4	21	-0.04977375565610864
116324.5	F	mock	5	5	20.8	-0.05882352941176472
116325.1	F	mock	5	1	19.9	0
116325.1	F	mock	5	2	20.1	0.01005025125628145
116325.1	F	mock	5	3	19.9	0
116325.1	F	mock	5	4	19.9	0
116325.1	F	mock	5	5	20.2	0.01507537688442206
116325.2	F	mock	5	1	21.1	0
116325.2	F	mock	5	2	21.6	0.02369668246445488
116325.2	F	mock	5	3	22	0.04265402843601884
116325.2	F	mock	5	4	22.2	0.05213270142180093
116325.2	F	mock	5	5	22	0.04265402843601884
116325.3	F	mock	5	1	21.1	0
116325.3	F	mock	5	2	21.3	0.00947867298578186
116325.3	F	mock	5	3	21.5	0.01895734597156395
116325.3	F	mock	5	4	21.4	0.0142180094786728
116325.3	F	mock	5	5	21.7	0.02843601895734582
116325.4	F	mock	5	1	22.3	0
116325.4	F	mock	5	2	22.7	0.01793721973094153
116325.4	F	mock	5	3	22.9	0.02690582959641241
116325.4	F	mock	5	4	23	0.03139013452914785
116325.4	F	mock	5	5	23.3	0.04484304932735417
116325.5	F	mock	5	1	21	0
116325.5	F	mock	5	2	21.2	0.00952380952380949
116325.5	F	mock	5	3	21.2	0.00952380952380949
116325.5	F	mock	5	4	21.5	0.02380952380952372
116325.5	F	mock	5	5	21.3	0.01428571428571423
116326.1	F	mino	5	1	21.1	0
116326.1	F	mino	5	2	20.2	-0.04265402843601906
116326.1	F	mino	5	3	20.3	-0.03791469194312802
116326.1	F	mino	5	4	20.7	-0.01895734597156406
116326.1	F	mino	5	5	21.2	0.00473933649289093
116326.2	F	mino	5	1	20	0
116326.2	F	mino	5	2	18.9	-0.05500000000000005
116326.2	F	mino	5	3	18.9	-0.05500000000000005
116326.2	F	mino	5	4	19.4	-0.03000000000000002
116326.2	F	mino	5	5	19.9	-0.00500000000000011
116326.3	F	mino	5	1	22	0
116326.3	F	mino	5	2	21	-0.04545454545454541
116326.3	F	mino	5	3	20.8	-0.05454545454545456
116326.3	F	mino	5	4	21.2	-0.03636363636363637
116326.3	F	mino	5	5	22.2	0.00909090909090903
116326.4	F	mino	5	1	20	0
116326.4	F	mino	5	2	20	0
116326.4	F	mino	5	3	19.6	-0.0199999999999999
116326.4	F	mino	5	4	19.9	-0.00500000000000011
116326.4	F	mino	5	5	20.4	0.02000000000000001
116326.5	F	mino	5	1	21.4	0
116326.5	F	mino	5	2	20.2	-0.05607476635514019
116326.5	F	mino	5	3	20.7	-0.03271028037383172
116326.5	F	mino	5	4	21	-0.01869158878504662
116326.5	F	mino	5	5	21.4	0
116327.1	F	mino	5	1	20.3	0
116327.1	F	mino	5	2	20.4	0.00492610837438411
116327.1	F	mino	5	3	18.7	-0.0788177339901478
116327.1	F	mino	5	4	18.4	-0.0935960591133006
116327.1	F	mino	5	5	18.6	-0.08374384236453203
116327.2	F	mino	5	1	23	0
116327.2	F	mino	5	2	21.3	-0.07391304347826089
116327.2	F	mino	5	3	21.3	-0.07391304347826089
116327.2	F	mino	5	4	21.9	-0.04782608695652179
116327.2	F	mino	5	5	21.9	-0.04782608695652179
116327.3	F	mino	5	1	20.3	0
116327.3	F	mino	5	2	20.6	0.0147783251231528
116327.3	F	mino	5	3	20.8	0.02463054187192126
116327.3	F	mino	5	4	20.2	-0.00492610837438434
116327.3	F	mino	5	5	20.4	0.00492610837438411
116327.4	F	mino	5	1	20	0
116327.4	F	mino	5	2	20.3	0.01500000000000012
116327.4	F	mino	5	3	20.6	0.03000000000000002
116327.4	F	mino	5	4	20.2	0.01
116327.4	F	mino	5	5	20	0
116327.5	F	mino	5	1	21.8	0
116327.5	F	mino	5	2	20.7	-0.0504587155963303
