plate	inlet	sample_name	animal	day	gn_rs	nfl
16	3	MP-1-148	1	6	3	608
16	4	MP-2-148	2	6	3	542
16	5	MP-3-148	3	6	3	231
16	6	MP-4-148	4	6	3	1415
16	7	MP-5-148	5	6	3	770
16	8	MP-6-148	6	6	3	275
16	9	MP-7-148	7	6	3	274
16	10	MP-8-148	8	6	3	405
16	11	MP-18-148	18	6	3	1252
16	12	MP-09-652	9	27	3	83.8
15	49	MP-11-652	11	27	3	130
15	50	MP-12-652	12	27	3	96.9
15	51	MP-13-652	13	27	3	297
15	52	MP-15-652	15	27	3	239
15	53	MP-16-652	16	27	3	185
15	54	MP-29-652	29	27	3	98.3
15	55	MP-30-652	30	27	3	453
15	56	MP-09-820	9	34	3	323
15	57	MP-11-820	11	34	3	194
15	58	MP-12-820	12	34	3	90.3
15	59	MP-13-820	13	34	3	157
15	60	MP-15-820	15	34	3	137
15	61	MP-16-820	16	34	3	138
15	62	MP-29-820	29	34	3	226
15	63	MP-30-820	30	34	3	206
15	64	MP-09-988	9	41	3	75
15	65	MP-11-988	11	41	3	124
15	66	MP-12-988	12	41	3	45.1
15	67	MP-13-988	13	41	3	130
15	68	MP-15-988	15	41	3	120
15	69	MP-16-988	16	41	3	173
15	70	MP-29-988	29	41	3	75.9
15	71	MP-30-988	30	41	3	89.4
14	12	MP-19-148	19	6	3	730
14	13	MP-20-148	20	6	3	2621
14	14	MP-21-148	21	6	3	1092
14	15	MP-22-148	22	6	3	1187
14	16	MP-23-148	23	6	3	1141
14	17	MP-24-148	24	6	3	1483
14	18	MP-1-384	1	16	3	440
14	19	MP-2-384	2	16	3	195
14	20	MP-3-384	3	16	3	1938
14	21	MP-4-384	4	16	3	394
14	22	MP-5-384	5	16	3	1585
14	23	MP-6-384	6	16	3	250
14	24	MP-7-384	7	16	3	265
14	25	MP-8-384	8	16	3	742
14	26	MP-19-384	19	16	3	580
14	27	MP-20-384	20	16	3	578
14	28	MP-21-384	21	16	3	1529
14	29	MP-24-384	24	16	3	1065
14	30	MP-9-484	9	20	3	137
14	31	MP-11-484	11	20	3	200
14	32	MP-12-484	12	20	3	97.5
14	33	MP-13-484	13	20	3	238
14	34	MP-15-484	15	20	3	362
14	35	MP-16-484	16	20	3	479
14	36	MP-29-484	29	20	3	365
14	37	MP-30-484	30	20	3	768
13	21	MP-1-PreTx	1	0	1	1098
13	22	MP-2-PreTx	2	0	3	299
13	23	MP-3-PreTx	3	0	3	657
13	24	MP-4-PreTx	4	0	3	316
13	25	MP-5-PreTx	5	0	3	104
13	26	MP-6-PreTx	6	0	3	140
13	27	MP-7-PreTx	7	0	3	88
13	28	MP-8-PreTx	8	0	3	123
13	29	MP-9-PreTx	9	0	3	247
13	30	MP-10-PreTx	10	0	3	124
13	31	MP-11-PreTx	11	0	3	177
13	32	MP-12-PreTx	12	0	3	70.5
13	33	MP-13-PreTx	13	0	2	148
13	34	MP-14-PreTx	14	0	3	82.9
13	35	MP-15-PreTx	15	0	3	61.6
13	36	MP-16-PreTx	16	0	3	82.3
13	37	MP-17-PreTx	17	0	3	158
13	38	MP-18-PreTx	18	0	3	288
13	39	MP-19-PreTx	19	0	3	116
13	40	MP-20-PreTx	20	0	0	NA
13	41	MP-21-PreTx	21	0	3	72.4
13	42	MP-22-PreTx	22	0	3	96.5
13	43	MP-23-PreTx	23	0	3	96
13	44	MP-24-PreTx	24	0	3	110
13	45	MP-25-PreTx	25	0	3	67.7
13	46	MP-26-PreTx	26	0	3	52.4
13	47	MP-27-PreTx	27	0	3	68
13	48	MP-28-PreTx	28	0	3	54.7
13	49	MP-29-PreTx	29	0	3	141
13	50	MP-30-PreTx	30	0	3	177
13	51	MP-31-PreTx	31	0	3	83.3
13	52	MP-32-PreTx	32	0	3	55
13	53	MP-1-316	1	13	3	276
13	54	MP-2-316	2	13	3	200
13	55	MP-3-316	3	13	3	120
13	56	MP-4-316	4	13	3	294
13	57	MP-5-316	5	13	3	166
13	58	MP-6-316	6	13	3	241
13	59	MP-7-316	7	13	2	227
13	60	MP-8-316	8	13	3	182
12	56	MP-09-148	9	6	3	333
12	57	MP-10-148	10	6	3	157
12	58	MP-11-148	11	6	3	611
12	59	MP-12-148	12	6	3	94.6
12	60	MP-13-148	13	6	3	188
12	61	MP-14-148	14	6	3	114
12	62	MP-15-148	15	6	3	334
12	63	MP-16-148	16	6	3	259
12	64	MP-25-148	25	6	3	1992
12	65	MP-26-148	26	6	3	852
12	66	MP-27-148	27	6	3	1211
12	67	MP-28-148	28	6	3	1654
12	68	MP-29-148	29	6	3	690
12	69	MP-30-148	30	6	3	1228
12	70	MP-31-148	31	6	3	844
12	71	MP-32-148	32	6	3	1889
11	46	MP-09-316	9	13	3	102
11	47	MP-10-316	10	13	2	378
11	48	MP-11-316	11	13	3	202
11	49	MP-12-316	12	13	3	112
11	50	MP-13-316	13	13	3	302
11	51	MP-14-316	14	13	3	118
11	52	MP-15-316	15	13	3	295
11	53	MP-16-316	16	13	3	236
11	54	MP-18-316	18	13	3	1893
11	55	MP-19-316	19	13	3	2473
11	56	MP-20-316	20	13	3	674
11	57	MP-21-316	21	13	3	1275
11	58	MP-22-316	22	13	3	1434
11	59	MP-23-316	23	13	3	1269
11	60	MP-24-316	24	13	3	735
11	61	MP-25-316	25	13	3	633
11	62	MP-26-316	26	13	1	479
11	63	MP-27-316	27	13	3	2351
11	64	MP-28-316	28	13	3	701
11	65	MP-29-316	29	13	3	1069
11	66	MP-30-316	30	13	3	1601
11	67	MP-32-316	32	13	3	674
