group	animal	sex
1	1	M
1	2	M
1	3	M
1	4	M
1	5	F
1	6	F
1	7	F
1	8	F
2	9	M
2	10	M
2	11	M
2	12	M
2	13	F
2	14	F
2	15	F
2	16	F
3	17	M
3	18	M
3	19	M
3	20	M
3	21	F
3	22	F
3	23	F
3	24	F
4	25	M
4	26	M
4	27	M
4	28	M
4	29	F
4	30	F
4	31	F
4	32	F
