animal	day	weight	delta
116332.3	10	21.9	-0.026666666666666727
116332.4	1	19.9	0
116332.4	2	20.5	0.03015075376884435
116332.4	3	20.6	0.035175879396984966
116332.4	4	20.4	0.025125628140703515
116332.4	5	20.4	0.025125628140703515
116332.4	10	20	0.005025125628140836
116332.5	1	20.4	0
116332.5	2	21.2	0.03921568627450989
116332.5	3	21.1	0.03431372549019618
116332.5	4	21.3	0.044117647058823595
116332.5	5	21	0.02941176470588247
116332.5	10	21	0.02941176470588247
116333.1	1	18.9	0
116333.1	2	19.3	0.021164021164021385
116333.1	3	19.4	0.02645502645502651
116333.1	4	19.5	0.031746031746031855
116333.1	5	19.2	0.015873015873015817
116333.1	10	18.6	-0.015873015873015706
116333.2	1	19.8	0
116333.2	2	20.2	0.02020202020202011
116333.2	3	20.6	0.04040404040404044
116333.2	4	20.1	0.015151515151515138
116333.2	5	20.1	0.015151515151515138
116333.2	10	19.9	0.005050505050504972
116333.3	1	21.6	0
116333.3	2	22.3	0.03240740740740744
116333.3	3	22.5	0.04166666666666652
116333.3	4	23	0.06481481481481466
116333.3	5	22.7	0.05092592592592582
116333.3	10	21.2	-0.0185185185185186
116333.4	1	19.7	0
116333.4	2	20	0.015228426395939021
116333.4	3	20.1	0.020304568527918843
116333.4	4	20.6	0.045685279187817285
116333.4	5	20	0.015228426395939021
116333.4	10	19.9	0.010152284263959421
116333.5	1	19.5	0
116333.5	2	19.8	0.01538461538461533
116333.5	3	19.8	0.01538461538461533
116333.5	4	19.8	0.01538461538461533
116333.5	5	20.2	0.03589743589743577
116333.5	10	19.4	-0.005128205128205221
116334.1	1	20.6	0
116334.1	2	20.1	-0.024271844660194164
116334.1	3	20.1	-0.024271844660194164
116334.1	4	20.4	-0.009708737864077777
116334.1	5	20.4	-0.009708737864077777
116334.1	6	20.3	-0.014563106796116498
116334.1	7	20.7	0.004854368932038833
116334.1	10	20.3	-0.014563106796116498
116334.2	1	21.9	0
116334.2	2	21.6	-0.013698630136986134
116334.2	3	21.5	-0.01826484018264829
116334.2	4	22.4	0.022831050228310446
116334.2	5	22.2	0.013698630136986356
116334.2	6	22.2	0.013698630136986356
116334.2	7	21.6	-0.013698630136986134
116334.2	10	21	-0.041095890410958846
116334.3	1	20.6	0
116334.3	2	20.2	-0.019417475728155442
116334.3	3	21	0.01941747572815533
116334.3	4	20.7	0.004854368932038833
116334.3	5	20.9	0.014563106796116276
116334.3	6	20.1	-0.024271844660194164
116334.3	7	19.5	-0.05339805825242727
116334.3	10	18.7	-0.09223300970873793
116334.4	1	19.5	0
116334.4	2	19.9	0.02051282051282044
116334.4	3	20	0.02564102564102555
116334.4	4	19.9	0.02051282051282044
116334.4	5	20.1	0.030769230769230882
116334.4	6	19.9	0.02051282051282044
116334.4	7	19.4	-0.005128205128205221
116334.4	10	19.5	0
116334.5	1	23.5	0
116334.5	2	21.9	-0.06808510638297882
116334.5	3	22	-0.06382978723404253
116334.5	4	22.4	-0.04680851063829794
116334.5	5	21.8	-0.07234042553191489
116334.5	6	21.6	-0.08085106382978713
116334.5	7	20.8	-0.11489361702127654
116334.5	10	20.5	-0.12765957446808507
116335.1	1	20.8	0
116335.1	2	20.4	-0.019230769230769384
116335.1	3	20.8	0
116335.1	4	20.8	0
116335.1	5	19.8	-0.04807692307692313
116335.1	6	20.6	-0.009615384615384581
116335.1	7	20.2	-0.028846153846153966
116335.1	10	20.6	-0.009615384615384581
116335.2	1	20	0
116335.2	2	19.1	-0.04499999999999993
116335.2	3	18.6	-0.06999999999999995
116335.2	4	18.6	-0.06999999999999995
116335.2	5	18.6	-0.06999999999999995
116335.2	6	19.2	-0.040000000000000036
116335.2	7	19	-0.050000000000000044
116335.2	10	18.8	-0.05999999999999994
116335.3	1	20.4	0
116335.3	2	19.9	-0.02450980392156865
116335.3	3	19	-0.06862745098039214
116335.3	4	19.1	-0.06372549019607832
116335.3	5	19.7	-0.03431372549019607
116335.3	6	20.6	0.009803921568627638
116335.3	7	19.4	-0.0490196078431373
116335.3	10	20.3	-0.004901960784313597
116335.4	1	20.4	0
116335.4	2	18.9	-0.07352941176470584
116335.4	3	18.8	-0.07843137254901955
116335.4	4	19.4	-0.0490196078431373
116335.4	5	20.5	0.004901960784313708
116335.4	6	19.6	-0.039215686274509665
116335.4	7	19.7	-0.03431372549019607
116335.4	10	20.3	-0.004901960784313597
116335.5	1	20	0
116335.5	2	19.3	-0.03499999999999992
116335.5	3	19.4	-0.030000000000000027
116335.5	4	20	0
116335.5	5	20.4	0.020000000000000018
116335.5	6	20.6	0.030000000000000027
116335.5	7	20.3	0.015000000000000124
116335.5	10	20.9	0.04499999999999993
116336.1	1	20.3	0
116336.1	2	19.6	-0.03448275862068961
116336.1	3	19.8	-0.024630541871921152
116336.1	4	20.4	0.004926108374384119
116336.1	5	20.5	0.009852216748768461
116336.1	6	20.9	0.029556650246305383
116336.1	7	20.2	-0.0049261083743843415
116336.1	10	20	-0.014778325123152691
116336.2	1	22.8	0
116336.2	2	22.5	-0.013157894736842146
116336.2	3	22.5	-0.013157894736842146
116336.2	4	23.3	0.021929824561403466
116336.2	5	22.8	0
116336.2	6	22.5	-0.013157894736842146
116336.2	7	22.5	-0.013157894736842146
116336.2	10	22.2	-0.026315789473684292
116336.3	1	19.9	0
116336.3	2	19.8	-0.005025125628140614
116336.3	3	20.8	0.045226130653266416
116336.3	4	20.4	0.025125628140703515
116336.3	5	20.5	0.03015075376884435
116336.3	6	20.3	0.0201005025125629
116336.3	7	19.9	0
116336.3	10	20.6	0.035175879396984966
116336.4	1	20.4	0
116336.4	2	20	-0.019607843137254832
116336.4	3	20.9	0.02450980392156854
116336.4	4	20.6	0.009803921568627638
116336.4	5	21.3	0.044117647058823595
116336.4	6	20.7	0.014705882352941124
116336.4	7	20.3	-0.004901960784313597
116336.4	10	21.2	0.03921568627450989
116336.5	1	20.6	0
116336.5	2	20.6	0
116336.5	3	20.6	0
116336.5	4	21.8	0.058252427184465994
116336.5	5	21.9	0.0631067961165046
116336.5	6	21.5	0.043689320388349495
116336.5	7	21.5	0.043689320388349495
116336.5	10	21.2	0.029126213592232997
116337.1	1	20	0
116337.1	2	20.5	0.02499999999999991
116337.1	3	20.6	0.030000000000000027
116337.1	4	21.1	0.05500000000000016
116337.1	5	21.1	0.05500000000000016
116337.1	6	21.5	0.07499999999999996
116337.1	7	20.8	0.040000000000000036
116337.1	10	20.3	0.015000000000000124
116337.2	1	20.4	0
116337.2	2	19.8	-0.02941176470588225
116337.2	3	20.2	-0.009803921568627416
116337.2	4	20.6	0.009803921568627638
116337.2	5	21	0.02941176470588247
116337.2	6	20.5	0.004901960784313708
116337.2	7	19.9	-0.02450980392156865
116337.2	10	20.6	0.009803921568627638
116337.3	1	20.4	0
116337.3	2	20.1	-0.014705882352941013
116337.3	3	20.5	0.004901960784313708
116337.3	4	21	0.02941176470588247
116337.3	5	20.4	0
116337.3	7	19	-0.06862745098039214
116337.3	10	20	-0.019607843137254832
116337.4	1	22.6	0
116337.4	2	21.5	-0.04867256637168149
116337.4	3	21.4	-0.053097345132743445
116337.4	4	22.4	-0.008849557522124019
116337.4	5	22.2	-0.017699115044247926
116337.4	6	21.9	-0.030973451327433787
116337.4	7	21	-0.07079646017699126
116337.4	10	21.8	-0.03539823008849563
116337.5	1	20.5	0
116337.5	2	20	-0.024390243902439046
116337.5	3	20.2	-0.014634146341463428
116337.5	4	20.5	0
116337.5	5	20.1	-0.019512195121951126
116337.5	6	20.2	-0.014634146341463428
116337.5	7	19.7	-0.039024390243902474
116337.5	10	17.5	-0.14634146341463417
